,en
system.locations.prologue.school,Prologue: School
system.locations.prologue.school.occult,Prologue: Occult Club
system.locations.prologue.hod,Prologue: Hallway of Doors
system.locations.prologue.event.nightmare,Prologue: Into the Door
system.locations.prologue.event.ending,Paper Lily: Chapter 1
system.locations.ch1.home,Chapter 1: Home
system.locations.ch1.home_night,Chapter 1: Home (Night)
system.locations.ch1.forest_stop,Chapter 1: Bus Stop
system.locations.ch1.forest,Chapter 1: Forest
system.locations.ch1.forest_red,Chapter 1: Red's Treehouse
system.locations.ch1.forest_lakeside_south,Chapter 1: Lakeside
system.locations.ch1.forest_lakeside_north,Chapter 1: Lavender Area
system.locations.ch1.facility,Chapter 1: Facility
system.locations.ch1.mk,Chapter 1: Miss Knives' Home
system.locations.ch1.event.ending,Paper Lily: Chapter 2
